n,k,us
512,0,23.59
512,1,54.90
512,2,59.26
512,4,59.37
512,8,61.04
512,16,63.19
512,32,71.03
512,64,99.08
512,128,133.40
1024,0,24.11
1024,1,68.28
1024,2,67.97
1024,4,66.95
1024,8,66.93
1024,16,69.16
1024,32,75.89
1024,64,99.02
1024,128,138.00
2048,0,32.60
2048,1,91.19
2048,2,98.96
2048,4,96.49
2048,8,93.95
2048,16,91.64
2048,32,101.01
2048,64,137.66
2048,128,210.15
4096,0,49.50
4096,1,177.67
4096,2,166.14
4096,4,153.76
4096,8,145.96
4096,16,139.85
4096,32,141.04
4096,64,208.06
4096,128,351.45
